f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,eval
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,3.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,-110
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,-6
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,76.0,2.0,3.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,180
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,37.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,-471
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,-9
8.0,2.0,2.0,2.0,0.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-1.0,1.0,-747
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,1.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,71
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,52.0,3.0,3.0,32.0,27.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,383
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,84.0,5.0,4.0,45.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,-103
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,8
8.0,2.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,100.0,100.0,2.0,3.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0,0.0,0.0,-62
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,1.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,126
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,3.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,-304
7.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,92.0,92.0,3.0,3.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,-1.0,0.0,0.0,1.0,302
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,84.0,4.0,1.0,34.0,26.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,693
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,99
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,84.0,6.0,1.0,43.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,-531
8.0,2.0,2.0,2.0,0.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,0.0,0.0,-1.0,0.0,-751
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,3.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,58
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,7.0,5.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1.0,630
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,3.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,264
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,3.0,27.0,32.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,10.0,0.0,0.0,0.0,1.0,240
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,100.0,92.0,2.0,4.0,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,1.0,0.0,1.0,357
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,6.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,1.0,-55
8.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,100.0,92.0,2.0,3.0,30.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,405
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,2.0,3.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,-255
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,3.0,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,-341
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,6.0,2.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,9999
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,2.0,4.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.0,175
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,92.0,100.0,1.0,4.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,-307
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,1.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,-12
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,0.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,-43
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,1.0,15
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,92.0,92.0,4.0,4.0,34.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,9.0,0.0,0.0,0.0,1.0,822
8.0,2.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,100.0,100.0,3.0,4.0,36.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,11.0,1.0,0.0,0.0,1.0,457
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,160
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,2.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,1.0,42
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,52.0,4.0,2.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1.0,231
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,1.0,99
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,6.0,3.0,40.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,-281
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,84.0,92.0,2.0,2.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,1.0,607
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,3.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0,-142
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,3.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,386
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,3.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,1.0,435
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,1.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,236
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,1.0,3.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,91
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,3.0,33.0,29.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,317
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,5.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,150
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,84.0,100.0,2.0,2.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,187
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,84.0,1.0,1.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,-66
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,92.0,2.0,1.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,-137
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,-37
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,111
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,152
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,1.0,34
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,68.0,100.0,3.0,2.0,25.0,37.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,1.0,639
7.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,84.0,68.0,3.0,3.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,-1.0,0.0,0.0,1.0,377
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,71
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,1.0,4.0,40.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,-763
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,3.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,-45
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,150
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,50
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,37.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,371
8.0,1.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,26.0,30.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,10.0,-1.0,0.0,0.0,0.0,-508
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,3.0,1.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,155
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,1.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,41
7.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,0.0,84.0,84.0,4.0,2.0,39.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,1.0,951
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,3.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,1.0,-9
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,2.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,1.0,186
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,68.0,3.0,3.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,1.0,39
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,92.0,100.0,4.0,3.0,37.0,30.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,575
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,4.0,27.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,-54
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,5.0,3.0,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,-148
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,-100
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,-47
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,3.0,3.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,-194
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,92.0,4.0,3.0,24.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,-173
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,4.0,2.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,1.0,450
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,1.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,459
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,3.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,1.0,80
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,241
7.0,2.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,92.0,100.0,5.0,1.0,31.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,445
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,-94
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,84.0,1.0,1.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,48
8.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,100.0,92.0,6.0,5.0,37.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,387
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,6.0,4.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,-78
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,5.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,-20
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,76.0,52.0,4.0,3.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-392
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,3.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,-3
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7
7.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,0.0,100.0,100.0,4.0,2.0,35.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,1.0,0.0,607
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,4.0,2.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,2
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-219
8.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,2.0,29.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,-1.0,0.0,1.0,-389
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,-163
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-197
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,0.0,1.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,1.0,147
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,76.0,3.0,1.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,113
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,46
8.0,1.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,5.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,-1.0,0.0,0.0,1.0,-399
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,2.0,3.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,-503
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,-529
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,4.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,-486
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,79
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,27.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,1.0,147
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,1.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,67
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,1.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,54
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,20
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,100.0,3.0,1.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,-46
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,4.0,2.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,-64
8.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,92.0,60.0,4.0,2.0,44.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,-692
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,-45
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,4.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,575
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,92.0,4.0,1.0,41.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,351
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,2.0,2.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-41
7.0,2.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,1.0,84.0,100.0,4.0,1.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0,-326
7.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,1.0,1.0,22.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,-321
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,92.0,92.0,3.0,4.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,-21
8.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,100.0,100.0,3.0,1.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,-222
